,Cloudiness (%),Humidity (%),Latitude,Name,Temperature (F),Wind Speed (mph)
0,75,58,16.38,champerico,303.15,1.0
1,75,57,-53.16,punta arenas,282.15,7.7
2,20,47,13.98,goure,300.679,3.01
3,0,72,-26.98,san patricio,302.329,1.41
4,8,63,-1.8,prainha,304.229,1.91
5,75,94,-22.97,arraial do cabo,296.8,3.1
6,12,91,60.14,nanortalik,276.729,13.56
7,75,45,-54.81,ushuaia,282.15,6.2
8,0,60,-2.92,itarema,300.929,8.06
9,40,35,-45.87,comodoro rivadavia,294.15,5.7
10,24,83,69.49,talnakh,281.579,5.56
11,75,69,58.81,fort nelson,276.15,1.5
12,75,72,42.65,albany,288.68,2.1
13,88,100,72.79,upernavik,274.329,7.01
14,92,97,50.59,bichura,275.079,2.51
15,92,29,-14.56,nyimba,301.529,3.31
16,32,100,-23.12,rikitea,295.429,1.21
17,44,71,-37.83,mount gambier,280.829,1.86
18,100,89,65.58,lavrentiya,280.229,12.06
19,75,69,63.75,iqaluit,275.15,4.6
20,0,82,-33.59,port alfred,291.079,12.76
21,0,100,44.51,fort-shevchenko,286.029,2.16
22,36,97,25.52,tura,296.679,1.16
23,32,44,-46.43,mar del plata,290.229,6.01
24,40,88,33.08,camacha,296.29,6.2
25,68,99,66.77,zhigansk,272.429,1.86
26,8,75,59.1,vao,277.629,3.36
27,8,50,-32.25,dubbo,284.15,3.1
28,0,91,-23.58,bluff,290.179,2.96
29,75,98,71.03,mehamn,275.15,4.1
30,20,78,31.8,gizo,299.15,2.1
31,36,100,50.68,severo-kurilsk,280.729,3.46
32,90,70,30.04,nome,300.28,3.1
33,32,14,-26.02,tsabong,294.029,5.51
34,36,39,-20.73,mount isa,290.15,2.1
35,75,52,32.3,rincon,305.55,3.6
36,92,100,-0.6,hithadhoo,299.529,8.66
37,1,4,43.97,saint anthony,293.17,2.1
38,75,62,33.19,avera,303.07,2.1
39,75,79,18.43,la romana,302.73,2.1
40,75,62,-37.04,cabrero,288.15,7.7
41,40,79,22.92,cidra,303.15,3.1
42,90,55,55.74,thompson,274.15,6.2
43,24,100,-33.64,busselton,287.429,9.96
44,0,80,-33.21,jamestown,273.479,2.31
45,75,81,-41.13,san carlos de bariloche,281.15,7.2
46,36,96,68.75,cherskiy,272.329,2.51
47,40,66,-2.98,uarini,305.15,1.5
48,0,89,45.76,mandalgovi,270.079,5.16
49,0,91,14.9,sao filipe,299.729,7.76
50,75,81,63.84,grindavik,280.15,14.4
51,20,46,43.26,hamilton,294.55,8.7
52,8,100,11.67,port blair,301.729,1.91
53,20,77,-42.88,hobart,277.15,5.7
54,90,59,62.45,yellowknife,276.15,10.8
55,32,100,13.72,sabang,297.479,2.06
56,24,88,-34.42,hermanus,281.029,1.06
57,90,75,37.29,campbell,290.05,3.1
58,0,87,-33.8,robertson,275.579,0.86
59,40,71,19.71,hilo,298.69,2.1
60,20,100,-34.72,port lincoln,280.979,2.76
61,40,93,41.96,khani,288.15,1.0
62,0,59,-33.02,east london,289.15,6.7
63,80,97,61.99,paamiut,277.429,7.06
64,0,78,43.78,menton,294.14,2.1
65,44,84,71.97,saskylakh,269.479,4.76
66,0,36,36.54,sarakhs,291.15,5.1
67,75,33,-20.25,praia,304.46,1.0
68,88,98,52.69,kromy,283.429,4.21
